Date,Close,High,Low,Open,Volume
2015-01-20,12870.60156,12870.60156,12748.662,12772.57172,388400.0
2015-01-21,13023.62305,13045.14179,12724.75158,12803.65365,690400.0
2015-01-22,12803.65332,13054.70535,12739.09709,13054.70535,400400.0
2015-01-23,13054.7041,13076.22284,12959.06524,13026.01244,417600.0
2015-01-26,13207.72754,13207.72754,12887.33733,12911.24705,483600.0
2015-01-27,13408.57031,13410.96128,13231.63839,13248.3752,499600.0
2015-01-28,13437.25977,13468.34239,13289.01953,13308.14731,468000.0
2015-01-29,13336.84082,13344.01374,13202.9464,13293.80333,464800.0
2015-01-30,13267.50293,13453.99874,13248.37515,13389.4425,638400.0
2015-02-02,13384.65918,13413.35084,13030.79538,13152.73493,584800.0
2015-02-03,13731.34961,13886.76276,13678.74824,13862.85304,1064800.0
2015-02-04,13664.40039,13960.88082,13592.67125,13891.54265,766400.0
2015-02-05,13843.72559,13881.98113,13635.71106,13664.40272,744400.0
2015-02-06,13690.7041,13908.28253,13611.80203,13891.54573,678000.0
2015-02-09,13676.35449,13807.8579,13487.46778,13807.8579,640000.0
2015-02-10,13501.81836,13690.70514,13422.91629,13650.05862,545200.0
2015-02-12,13793.51465,13881.98059,13748.08619,13815.03339,776800.0
2015-02-13,13822.20801,13910.67396,13750.47885,13838.94481,646800.0
2015-02-16,14314.74805,14384.08623,13925.01965,13939.36548,713200.0
2015-02-17,14353.00195,14427.12207,14243.01726,14274.09989,486800.0
2015-02-18,14821.63281,14835.97864,14415.16764,14417.55862,754400.0
2015-02-19,14568.18848,14922.05224,14537.10585,14733.1655,796400.0
2015-02-20,14417.56055,14649.48482,14357.78625,14537.10914,915200.0
2015-02-23,14350.61133,14608.83626,14278.88218,14584.92654,663200.0
2015-02-24,14446.25293,14458.20779,14113.90782,14298.01266,688400.0
2015-02-25,14357.78418,14474.94179,14290.83698,14417.55847,367600.0
2015-02-26,14312.35742,14415.16921,14178.463,14178.463,521200.0
2015-02-27,14608.83496,14661.43633,14379.30171,14403.21142,639600.0
2015-03-02,14587.32031,14745.12447,14522.76407,14704.47794,539600.0
2015-03-03,14266.92871,14460.59743,14164.11692,14441.46965,1030000.0
2015-03-04,14477.33398,14489.28884,14228.67292,14407.9958,984000.0
2015-03-05,14470.1582,14472.54917,14264.53467,14360.17352,448800.0
2015-03-06,14477.33398,14584.92771,14410.38678,14510.80759,656000.0
2015-03-09,14441.46777,14477.33235,14283.66366,14443.85874,394400.0
2015-03-10,14434.29395,14570.57931,14350.60995,14510.80503,576000.0
2015-03-11,14608.83496,14682.95507,14434.29405,14486.89542,570400.0
2015-03-12,14881.4082,14941.1825,14580.14576,14620.79228,692800.0
2015-03-13,15732.59473,16069.72176,15235.27258,15328.52049,1695200.0
2015-03-16,15570.00586,15866.48631,15503.05866,15565.22392,671600.0
2015-03-17,16014.72949,16318.38292,15868.88021,16048.2031,1041200.0
2015-03-18,16498.42383,16637.30751,16235.02374,16254.18011,1146000.0
2015-03-19,16285.30762,16508.0004,16009.93482,16474.47675,790800.0
2015-03-20,16282.91602,16292.4942,16012.33226,16175.16142,519200.0
2015-03-23,16282.91602,16479.26883,16177.55597,16469.69064,564400.0
2015-03-24,16026.70117,16328.41406,15964.44296,16165.58488,683600.0
2015-03-25,16201.50195,16201.50195,15899.78909,15899.78909,535200.0
2015-03-26,15598.07715,16053.04102,15543.00257,16053.04102,1079600.0
2015-03-27,15708.22656,15947.68124,15483.13917,15598.07741,744400.0
2015-03-30,15820.77051,15873.45054,15408.90846,15617.23403,564400.0
2015-03-31,15708.22656,16251.78867,15705.83202,16170.37408,604000.0
2015-04-01,15399.33203,15708.2286,15164.66642,15708.2286,892000.0
2015-04-02,15657.94043,15751.32775,15372.98938,15394.5403,954000.0
2015-04-03,15701.04395,15772.88035,15516.66383,15691.46576,713200.0
2015-04-06,15713.0166,15918.94763,15588.50016,15612.44563,615600.0
2015-04-07,15787.24805,15940.49905,15602.86793,15902.1863,783600.0
2015-04-08,15780.0625,15899.78983,15684.28063,15899.78983,645600.0
2015-04-09,15818.37695,15954.86613,15777.66966,15875.84608,612400.0
2015-04-10,15638.78223,15851.89685,15638.78223,15820.76775,627200.0
2015-04-13,15777.66895,15815.98169,15463.98331,15653.15251,555600.0
2015-04-14,15703.4375,15736.96115,15643.57383,15667.5193,290800.0
2015-04-15,15703.4375,15799.21937,15578.92107,15600.47199,404000.0
2015-04-16,15305.94336,15679.49267,15018.59774,15588.49989,962000.0
2015-04-17,14870.13379,15169.4521,14846.18832,15169.4521,1062400.0
2015-04-20,15013.80469,15169.45019,14702.51368,14702.51368,835600.0
2015-04-21,15157.48047,15217.34414,14898.86943,15061.6986,822000.0
2015-04-22,15401.72363,15430.45819,15131.13987,15181.42535,556800.0
2015-04-23,15339.46582,15660.33507,15265.23487,15557.36957,425600.0
2015-04-24,15308.33398,15394.53765,15253.25942,15341.85763,386400.0
2015-04-27,15428.06445,15499.90085,15262.84073,15265.23528,340400.0
2015-04-28,16000.36328,16000.36328,15732.17401,15777.67041,1048000.0
2015-04-30,15392.14551,15830.34753,15368.20004,15827.95299,733600.0
2015-05-01,15260.44434,15456.79714,15145.50611,15272.41707,613600.0
2015-05-07,15109.58984,15344.25542,14968.31159,15030.5698,901200.0
2015-05-08,15071.27246,15183.81612,14573.2069,14685.75056,1017200.0
2015-05-11,15229.31738,15344.25563,15193.39918,15325.09925,457200.0
2015-05-12,15504.68848,15507.08302,15260.44474,15337.07022,592000.0
2015-05-13,15475.95605,15540.60882,15260.44684,15368.20145,480400.0
