Rank,Code,Type,Close,Score,RSI_14,MA_Divergence_25
1,9101.T,MyList,4947.0,0.0048054022940353215,31.458531935176367,-0.02494500902719203
2,7974.T,Core30,13275.0,0.0048054022940353215,55.00685871056242,0.004585906284053787
3,4582.T,MyList,104.0,0.0038064358743005863,22.727272727272734,-0.09816163718348937
4,6981.T,Core30,3078.0,0.0034077148692394895,52.27492739593418,-0.004630827339990739
5,2914.T,Core30,5774.0,0.0034077148692394895,88.98071625344352,0.08741506335407467
6,7751.T,Core30,4450.0,0.003091745156992012,53.27272727272727,-0.0011940780909114742
7,4502.T,Core30,4451.0,0.0029976680848914855,64.13994169096209,0.04052701957153937
8,6861.T,Core30,53780.0,0.0029861722929855044,18.503538928210318,-0.06675366322613789
9,6273.T,Core30,51900.0,0.0028083961375448595,48.88097660223804,-0.01935591145105096
10,9983.T,Core30,54620.0,0.002332044336166819,50.440528634361236,-0.014812089204418323
11,7741.T,Core30,23075.0,0.002332044336166819,38.8996138996139,-0.03362928218443756
12,6367.T,Core30,19610.0,0.002332044336166819,64.96282527881041,0.038797304742128315
13,7011.T,MyList,4120.0,0.0019932204030650657,36.55083655083655,-0.05493315716553341
14,9501.T,MyList,834.0,0.001951113546869414,62.4419984348229,0.023086925586986985
15,6330.T,MyList,2635.0,0.001951113546869414,53.41823056300267,0.057859069886947535
16,8306.T,Core30,2386.5,0.001951113546869414,57.85627283800244,0.026160315781326656
17,218A.T,MyList,1332.0,0.001554108170572752,14.94607087827427,-0.21739130434782608
18,8729.T,MyList,145.0,0.001554108170572752,43.764700053387834,-0.05359893556332064
19,4661.T,Core30,2985.0,0.001554108170572752,22.819932049830115,-0.08904473293904387
20,6902.T,Core30,2019.0,0.001554108170572752,19.58874458874459,-0.06610790408525757
21,5401.T,MyList,619.4000244140625,0.0014381635198198782,39.949121797075286,0.0011832257773208416
22,7267.T,Core30,1514.0,0.0014381635198198782,38.48354792560801,-0.028877115110774707
23,9432.T,Core30,152.60000610351562,0.0014381635198198782,32.026129450483694,-0.01875044147818554
24,9509.T,MyList,1122.0,0.0014381635198198782,56.48854961832061,0.03442553426880305
25,8802.T,Core30,3355.0,0.0014058508698985863,55.735294117647065,0.010700471158133195
26,8316.T,Core30,4416.0,0.0014058508698985863,65.993265993266,0.05712698929467423
27,7203.T,Core30,3044.0,0.0014058508698985863,37.4777975133215,-0.01936780794556908
28,8058.T,Core30,3618.0,0.0014058508698985863,44.8780487804878,-0.009743814320122593
29,6098.T,Core30,7639.0,0.0013902105630384015,50.43290043290043,-0.02054559162174773
30,1366.T,MyList,152.0,0.0012781796021496302,56.60377358490566,0.0002632271650433801
31,3382.T,Core30,2123.5,0.0012091537573532712,79.1044776119403,0.0585953857504636
32,4568.T,Core30,3627.0,0.0012091537573532712,40.62772449869224,-0.019782714447867635
33,278A.T,MyList,3050.0,0.0011923668747511411,48.44995571302037,-0.042301992011856554
34,9984.T,Core30,19180.0,0.0007489415230259078,24.20289855072464,-0.1692006480061682
35,6501.T,Core30,4875.0,0.0007489415230259078,47.90675547098002,-0.0019244943084103753
36,8031.T,Core30,4026.0,-0.00036003317883863254,65.65272496831432,0.0377358490566038
37,4519.T,Core30,8278.0,-0.00036003317883863254,75.13679890560874,0.12328752252545654
38,4063.T,Core30,4434.0,-0.0004889170178807862,35.188509874326755,-0.0518509648282468
39,8766.T,Core30,5350.0,-0.0004889170178807862,31.640299750208158,-0.08951047998965277
40,6758.T,Core30,4461.0,-0.001710387364375457,58.43773028739867,0.013513513513513414
41,8411.T,Core30,5159.0,-0.001710387364375457,52.31350330500472,0.025784797944851452
