Rank,Code,Type,Close,Score,RSI_14,MA_Divergence_25
1,218A.T,MyList,1332.0,0.006862995227576459,14.94607087827427,-0.21739130434782608
2,278A.T,MyList,3050.0,0.006862995227576459,48.44995571302037,-0.042301992011856554
3,9501.T,MyList,834.0,0.003656137632618737,62.4419984348229,0.023086925586986985
4,3382.T,Core30,2123.5,0.0033882075906322084,79.1044776119403,0.0585953857504636
5,8306.T,Core30,2386.5,0.003146457533200575,57.85627283800244,0.026160315781326656
6,2914.T,Core30,5774.0,0.0030028716268109103,88.98071625344352,0.08741506335407467
7,6981.T,Core30,3078.0,0.0030028716268109103,52.27492739593418,-0.004630827339990739
8,6367.T,Core30,19610.0,0.002641725267438925,64.96282527881041,0.038797304742128315
9,7974.T,Core30,13275.0,0.002353471804708501,55.00685871056242,0.004585906284053787
10,9101.T,MyList,4947.0,0.002353471804708501,31.458531935176367,-0.02494500902719203
11,8411.T,Core30,5159.0,0.002353471804708501,52.31350330500472,0.025784797944851452
12,6758.T,Core30,4461.0,0.002353471804708501,58.43773028739867,0.013513513513513414
13,7011.T,MyList,4120.0,0.002353471804708501,36.55083655083655,-0.05493315716553341
14,4502.T,Core30,4451.0,0.0022910694736173968,64.13994169096209,0.04052701957153937
15,8058.T,Core30,3618.0,0.0022910694736173968,44.8780487804878,-0.009743814320122593
16,8802.T,Core30,3355.0,0.0022910694736173968,55.735294117647065,0.010700471158133195
17,8316.T,Core30,4416.0,0.0022910694736173968,65.993265993266,0.05712698929467423
18,7203.T,Core30,3044.0,0.0022910694736173968,37.4777975133215,-0.01936780794556908
19,6501.T,Core30,4875.0,0.0018531234954268605,47.90675547098002,-0.0019244943084103753
20,4661.T,Core30,2985.0,0.001300800137300417,22.819932049830115,-0.08904473293904387
21,4063.T,Core30,4434.0,0.001300800137300417,35.188509874326755,-0.0518509648282468
22,8766.T,Core30,5350.0,0.001300800137300417,31.640299750208158,-0.08951047998965277
23,6902.T,Core30,2019.0,0.001300800137300417,19.58874458874459,-0.06610790408525757
24,6098.T,Core30,7639.0,0.001300800137300417,50.43290043290043,-0.02054559162174773
25,8729.T,MyList,145.0,0.0012889152137974872,43.764700053387834,-0.05359893556332064
26,7741.T,Core30,23075.0,0.0011991097276850106,38.8996138996139,-0.03362928218443756
27,9983.T,Core30,54620.0,0.0011991097276850106,50.440528634361236,-0.014812089204418323
28,6861.T,Core30,53780.0,0.0009322226694589458,18.503538928210318,-0.06675366322613789
29,4568.T,Core30,3627.0,0.0009011311825312466,40.62772449869224,-0.019782714447867635
30,7751.T,Core30,4450.0,0.0009011311825312466,53.27272727272727,-0.0011940780909114742
31,9509.T,MyList,1122.0,0.0003333191205368751,56.48854961832061,0.03442553426880305
32,9984.T,Core30,19180.0,0.0002527897790840692,24.20289855072464,-0.1692006480061682
33,4519.T,Core30,8278.0,3.693524119224368e-05,75.13679890560874,0.12328752252545654
34,9432.T,Core30,152.60000610351562,-0.00030177166150953134,32.026129450483694,-0.01875044147818554
35,7267.T,Core30,1514.0,-0.00034200568928263297,38.48354792560801,-0.028877115110774707
36,1366.T,MyList,152.0,-0.0005402756381064455,56.60377358490566,0.0002632271650433801
37,5401.T,MyList,619.4000244140625,-0.0005843222460373784,39.949121797075286,0.0011832257773208416
38,4582.T,MyList,104.0,-0.0015671436964741726,22.727272727272734,-0.09816163718348937
39,8031.T,Core30,4026.0,-0.004230074765902886,65.65272496831432,0.0377358490566038
40,6273.T,Core30,51900.0,-0.005260545971809806,48.88097660223804,-0.01935591145105096
41,6330.T,MyList,2635.0,-0.008272293796259215,53.41823056300267,0.057859069886947535
